Category,No. of Unique Aspects,No. of Clusters
All Electronics,19364,82
Electronics,162103,87
Home & Kitchen,130966,82
Home Improvement,6658,81
Industrial & Scientific,39609,79
Health & Personal Care,96472,86
Camera & Photo,1533,73
Software,51984,77
Cell Phones & Accessories,85444,78
Arts,53164,83
Computers,8457,68
Office & School Supplies,3510,92
GPS & Navigation,2247,78
Car Electronics,2755,64
Toys & Games,128214,85
Kitchen & Dining,8601,84
Tools & Home Improvement,145968,85
Baby,102534,85
All Beauty,6217,75
Baby Products,25853,83
Office Products,134555,88
Appliances,23762,83
Amazon Fashion,12413,82
Patio,105872,85
Sports & Outdoors,108525,83
Video Games,205772,73
Clothing,71156,81
Musical Instruments,65458,82
Automotive,82358,84
Luxury Beauty,5237,76
